Car Year,Brand,Model,Scale,Color,Maker,Year,Code,Price,Notes,Total Models:,Stats,,,,,,,,,
2020,Lamborghini ,Huracan EVO RWD Spyder,1:43,Blue,Looksmart,2024,HurEVORWDSpy-1,$85.0,,,,,,,,,,,,
2021,Lamborghini,Huracan STO,1:22,Blue,Jinlifang,2023,HurSTO-1,$18.0,,,,,,,,,,,,
2024,Lamborghini,Huracan STJ,1:64,Gray,CCA/LAMBOMODELS,2024/2026,HurSTJ-1,$3.0,STO to STJ,,,,,,,,,,,
2021,Lamborghini,Huracan STO,1:40,Green,MSZ,2025,HurSTO-2,$18.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Tecnica,1:43,Green,Looksmart,2024,HurTec-1,$80.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Sterrato,1:64,Orange,Hot Wheels,2024,HurSterConc-1,$6.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Sterrato,1:64,Yellow,Hot Wheels,2026,HurSter-2,$5.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Sterrato,1:64,White,MiniGT,2025,HurSter-1,$16.0,,,,,,,,,,,,
2023,Lamborghini ,Invencible,1:22,Red,Unbranded,2025,Invec-1,$16.0,,,,,,,,,,,,
1968,Lamborghini,Islero,1:43,Yellow,Minichamps,2023,Isl-1,$30.0,,,,,,,,,,,,
1975,Lamborghini ,Islero 'LeMans 24 Hours',1:43,Red,Ixo,2025,IslLM-1,$30.0,,,,,,,,,,,,
1969,Lamborghini,Islero S,1:43,Silver,Polistil/LAMBOMODELS,2024/25,IslS-1,$30.0,,,,,,,,,,,,
1981,Lamborghini,Jalpa P3500,1:43,Black,Greenlight,2023,Jal-1,$25.0,,,,,,,,,,,,
1987,Lamborghini,Jalpa Spyder Prototipo,1:43,Blue,Leo Models,2020,JalSpy-1,$15.0,,,,,,,,,,,,
1970,Lamborghini,Jarama 400GT,1:43,Silver,Polistil,2024,Jar-1,$25.0,,,,,,,,,,,,
1972,Lamborghini,Jarama 400GTS,1:43,White,Hachette,2023,JarS-1,$15.0,,,,,,,,,,,,
1972,Lamborghini,Jarama Bob,1:43,Orange,Leo Models,2020,JarBob-1,$15.0,,,,,,,,,,,,
1973,Lamborghini,Jarama SVR,1:43,Yellow,Leo Models,2020,JarSVR-1,$15.0,,,,,,,,,,,,
1991,Lamborghini,Konrad WSC KM-011,1:43,Blue,Hachette,2023,Konrad-1,$15.0,,,,,,,,,,,,
2023,Lamborghini,Lanzador,1:43,Blue,Looksmart,2026,Lanzad-01,$155.0,,,,,,,,,,,,
1986,Lamborghini,LM002,1:64,Yellow,Matchbox,2020,LM002-1,-,,,,,,,,,,,,
1967,Lamborghini,Marzal,1:64,Pink,Matchbox,2020,Marzal-1,$8.0,,,,,,,,,,,,
1966,Lamborghini,Miura P400,1:100,Black,Suntory Car Graphic,2022,Miu-1,$5.0,,,,,,,,,,,,
1966,Lamborghini,Miura P400,1:43,Yellow,Del Prado,2022,Miu-2,$15.0,,,,,,,,,,,,
1968,Lamborghini,Miura P400 S,1:43,Green,Mondo Motors,2022,MiuS-1,$6.0,,,,,,,,,,,,
1968,Lamborghini,Miura P400 S,1:43,Green,Mondo Motors,2024,MiuS-2,$6.0,Donor for Islero S,,,,,,,,,,,
1971,Lamborghini,Miura P400 SV,1:34,Orange,Kinsmart,2018,MiuSV-1,$3.0,,,,,,,,,,,,
1971,Lamborghini,Miura P400 SV,1:64,Orange,Hot Wheels,2022,MiuSV-2,$2.0,,,,,,,,,,,,
1971,Lamborghini,Miura P400 SV,1:64,Red,Hot Wheels,2025,MiuSV-3,$2.0,,,,,,,,,,,,
1968,Lamborghini,Miura Roadster,1:43,Blue,Rio Models,2023,MiuRoad-1,$30.0,,,,,,,,,,,,
1981,Lamborghini,Miura SVJ Roadster,1:43,White,Leo Models,2020,MiuSVJRoad-1,$15.0,,,,,,,,,,,,
